type,name,label::English (en),label::French (fr),label::Arabic (ar),required,default,relevant,appearance,constraint,constraint_message::English (en),constraint_message::French (fr),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::French (fr),hint::Arabic (ar),repeat_count,parameters
integer,attending_formal_school_unofficialy_girls,1. Attending formal Libyan school unofficially,1. Fréquenter l'école officielle libyenne officieusement,ÍÖæÑ ÇáãÏÑÓÉ ÇááíÈíÉ ÇáÑÓãíÉ ÈÔßá ÛíÑ ÑÓãí,yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,attending_unofficial_private_girls,2. Attending unofficial or unrecognised private school,2. Fréquentant une école privée non officielle ou non reconnue,ÍÖæÑ ãÏÑÓÉ ÎÇÕÉ ÛíÑ ÑÓãíÉ Ãæ ÛíÑ ãÚÊÑİ,yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,nonformal_edu_ngo_center_girls,3. Non formal education at NGO centre,3. L'éducation non formelle au centre des ONG,ÇáÊÚáíã ÛíÑ ÇáÑÓãí İí ãÑßÒ ÇáãäÙãÇÊ ÛíÑ ÇáÍßæãíÉ,yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,employer_professional_trainign_girls,4. Employer providing professional training,4. Employeur offrant une formation professionnelle,ÕÇÍÈ ÇáÚãá ÊæİíÑ ÇáÊÏÑíÈ Çáãåäí,yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,nonformal_edu_home_girls,5. Non-formal education at home,5. L'éducation non formelle à domicile,ÇáÊÚáíã ÛíÑ ÇáÑÓãí İí ÇáãäÒá,yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,nonforma_edu_faithbased_organization_girls,6. Non formal education at faith-based organization,6. L'éducation non formelle dans les organisations confessionnelles,ÇáÊÚáíã ÛíÑ ÇáÑÓãí İí ÇáãäÙãÇÊ ÇáÏíäíÉ,yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,nonformal_edu_community_girls,7. Non formal education at community centre,7. ?ducation non formelle au centre communautaire,ÇáÊÚáíã ÛíÑ ÇáÑÓãí İí ãÑßÒ ÇáãÌÊãÚ,yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,nonformal_edu_museum_girls,8. Non formal education at Museum/libraries,8. ?ducation non formelle au musée/bibliothèques,ÇáÊÚáíã ÛíÑ ÇáÑÓãí İí ÇáãÊÍİ / ÇáãßÊÈÇÊ,yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,homeschooling_self_learning_girls,"9, Homeschooling/self-learning","9, Enseignement à domicile/autoapprentissage autonome",ÇáÊÚáíã ÇáãäÒáí / ÇáÊÚáã ÇáĞÇÊí,yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,other_girls,Other (please specify),Autre (veuillez préciser),ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
text,nonformal_education_girls_other,"If other, Please specify",Autre (veuillez préciser),ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),yes,,${other_girls}>0,,,,,,,,,,,,
calculate,nonformal_education_girls_calc,,,,,,,,,,,,,${attending_formal_school_unofficialy_girls}+${attending_unofficial_private_girls}+${nonformal_edu_ngo_center_girls}+${employer_professional_trainign_girls}+${nonformal_edu_home_girls}+${nonforma_edu_faithbased_organization_girls}+${nonformal_edu_community_girls}+${nonformal_edu_museum_girls}+${homeschooling_self_learning_girls}+${other_girls},,,,,
note,nonformal_education_girls_calc_err,the total is greater than school aged girls,le total est supérieur à celui des filles d'âge scolaire,ÇáãÌãæÚ ÃßÈÑ ãä ÇáİÊíÇÊ İí Óä ÇáãÏÑÓÉ,yes,,${nonformal_education_girls_calc} > ${school_aged_girls},,,,,,,,,,,,
note,children_formal_nonformal_education_girls_err,the total of formal and non formal school-ages children girls is greater than school-aged children girls,le total des filles scolarisés dans l'education formal et non formel est superiere aux nombre de filles,ÚÏÏ ÇáÃØİÇá ÇáÇäÇË İí ÇáÊÚáíã ÇáÑÓãí æ ÇáÛíÑ ÇáÑÓãí ÃßÈÑ ãä ÚÏÏ ÇáÃØİÇá,yes,,(${nonformal_education_girls_calc}+${enrolled_girls_6_10}+${enrolled_girls_11_17}) > ${school_aged_girls},,,,,,,,,,,,
select_one frequency_access_nonformal_school,frequency_access_nonformal_school,How often do your children have access to non-formal education?,? quelle fréquence vos enfants ont-ils accès à une éducation non formelle,ßã ãÑÉ íÍÕá ÃØİÇáß Úáì ÇáÊÚáíã ÛíÑ ÇáÑÓãí¿,yes,,${school_aged_girls}>0 or ${school_aged_boys}>0,quick,,,,,,,,,,,
select_multiple type_formal_edu,type_formal_edu,What type of formal education do refugee and migrant children have access to in this baladiya?  ,? quel type d'éducation formelle les enfants réfugiés et migrants ont-ils accès à cette baladiya?,ãÇ äæÚ ÇáÊÚáíã ÇáÑÓãí ÇáĞí íãßä ááÃØİÇá ÇááÇÌÆíä æÇáãåÇÌÑíä ÇáæÕæá Åáíå İí åĞå ÇáÈáÏíÉ¿,yes,,,,"if(${children_enrolled_calc}>0,not(selected(.,'noaccess_education')),count-selected(.)>=1) and (not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'noaccess_education')) or count-selected(.)=1)","Cannot select ""I dont know"" or ""I prefer not to answer"" or ""No access to education"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" ou ""Pas d'accès à l'éducation"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" Ãæ ""áÇ íãßä ÇáæÕæá Åáì ÇáÊÚáíã"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,,,,
text,type_formal_edu_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${type_formal_edu},'other')",,,,,,,,,,,,
select_multiple type_nonformal_edu,type_nonformal_edu,What kinds of non-formal education do refugee and migrant children have access to in this location?,? quels types d'éducation non formelle les enfants réfugiés et migrants ont-ils accès à cet endroit?,ãÇ ÃäæÇÚ ÇáÊÚáíã ÛíÑ ÇáÑÓãí ÇáÊí íãßä ááÃØİÇá ÇááÇÌÆíä æÇáãåÇÌÑíä ÇáæÕæá ÅáíåÇ İí åĞÇ ÇáãæŞÚ¿,yes,,,,"if(${children_enrolled_calc}>0,not(selected(.,'noaccess_nonformal_education')),count-selected(.)>=1) and (not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'noaccess_nonformal_education')) or count-selected(.)=1)","Cannot select ""I dont know"" or ""I prefer not to answer"" or "" No access to non formal education"" with other options","
Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" ou ""Pas d'accès à l'éducation non formelle"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" Ãæ ""áÇ íãßä ÇáæÕæá Åáì ÇáÊÚáíã ÛíÑ ÇáÑÓãí"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,,,,
text,type_nonformal_edu_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${type_nonformal_edu},'other')",,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
note,protection_section,Protection,Protection,ÇáÍãÇíÉ,,,,,,,,,,,,,,,
begin_group,protection,Protection,Protection,ÇáÍãÇíÉ,yes,,,,,,,,,,,,,,
select_one yes_no_dk_dwta,feeling_danger,Do you feel like you are in danger in this baladiya?,"Avez-vous l'impression d'être en danger dans cette baladiya ?
",åá ÊÔÚÑ Ãäß İí ÎØÑ İí åĞå ÇáÈáÏíÉ¿,yes,,,quick,,,,,,,,,,,
select_multiple insecurity_factors,insecurity_factors,Why do you feel in danger?,Pourquoi vous vous sentez en danger ?,áãÇĞÇ ÊÔÚÑ ÈÇáÎØÑ¿,yes,,${feeling_danger}='yes',,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,do not read out the list,ne lisez pas la liste,ãáÇÍÙÉ áÌÇãÚí ÇáÈíÇäÇÊ: áÇ ÊŞÑÃ ÇáŞÇÆãÉ,,
text,insecurity_factors_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${insecurity_factors},'other')",,,,,,,,,,,,
select_multiple protection_coping,protection_coping,You said that you feel in danger in this baladiya. How do you try to avoid these risks?,Vous avez dit que vous vous sentez en danger dans cette baladiya. Comment essayez-vous d'éviter ces risques?,ŞáÊ Åäß ÊÔÚÑ ÈÇáÎØÑ İí åĞå ÇáÈáÏíÉ. ßíİ ÊÍÇæá ÊÌäÈå¿,yes,,"selected(${insecurity_factors},'noone_can_helpme') or selected(${insecurity_factors},'affected_conflict_myarea') or selected(${insecurity_factors},'afraid_being_robbed') or selected(${insecurity_factors},'afraid_being_arrested_lack_docs') or selected(${insecurity_factors},'afraid_being_arrested_other_reasons') or selected(${insecurity_factors},'afraid_being_held_captive') or selected(${insecurity_factors},'afraid_being_kidnapped') or selected(${insecurity_factors},'afraid_being_tortured') or selected(${insecurity_factors},'afraid_being_physically_harassed') or selected(${insecurity_factors},'afraid_being_sexually_harassed') or selected(${insecurity_factors},'afraid_environmental_hazards') or selected(${insecurity_factors},'afraid_mine_risks')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'nothing_ican_do')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,do not read out the list,ne lisez pas la liste,ãáÇÍÙÉ áÌÇãÚí ÇáÈíÇäÇÊ: áÇ ÊŞÑÃ ÇáŞÇÆãÉ,,
text,protection_coping_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${protection_coping},'other')",,,,,,,,,,,,
select_multiple safety_factors,safety_factors,What would make you feel safer/less vulnerable to the dangers in Libya?,Qu'est-ce qui ferait que vous vous sentiez plus en sécurité / moins vulnérable aux dangers en Libye?,ãÇ ÇáĞí íÌÚáß ÊÔÚÑ ÈÇáÃãÇä / ÃŞá ÚÑÖÉ ááãÎÇØÑ İí áíÈíÇ¿,yes,,${feeling_danger}='yes',,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,,,,
text,safety_factors_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${safety_factors},'other')",,,,,,,,,,,,
select_multiple safety_factors_docs,safety_factors_docs,Which documents would have made you feel safer/less vulnerable to the dangers in Libya?,Quels documents vous auraient fait sentir plus en sécurité ou moins vulnérable aux dangers en Libye ?,ãÇ åí ÇáæËÇÆŞ ÇáÊí ãä ÔÃäåÇ Ãä ÊÌÚáß ÊÔÚÑ ÈÇáÃãÇä / ÃŞá ÚÑÖÉ ááãÎÇØÑ İí áíÈíÇ¿,yes,,"selected(${safety_factors},'having_official_docs')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,,,,
text,safety_factors_docs_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${safety_factors_docs},'other')",,,,,,,,,,,,
select_multiple witnessed_insecurity_factors_children,witnessed_insecurity_factors_children,What do you think are the safety and security concerns for refugee and migrant children (under 18) in your baladiya?,"Selon vous, quelles sont les préoccupations de sécurité des enfants réfugiés et migrants (de moins de 18 ans) dans votre baladiya?",ãÇ ÑÃíß İí ãÎÇæİ ÇáÓáÇãÉ æÇáÃãä ááÃØİÇá ÇááÇÌÆíä æÇáãåÇÌÑíä (Ïæä Óä 18) İí ÈáÏíÊß¿,yes,,,,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'insecurity_factors_children_none')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,,,,
text,witnessed_insecurity_factors_children_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${witnessed_insecurity_factors_children},'other')",,,,,,,,,,,,
select_one affected_differently_gender,affected_differently_gender,Are girls and boys affected differently by the dangerous situations you mentioned?,Les filles et les garçons sont-ils touchées différemment par les situations dangereuses que vous avez mentionnées?,åá ÇáİÊíÇÊ æÇáİÊíÇä íÊÃËÑæä ÈÔßá ãÎÊáİ ÈÇáãæÇŞİ ÇáÎØíÑÉ ÇáÊí ĞßÑÊåÇ¿,yes,,"not(selected(${witnessed_insecurity_factors_children},'insecurity_factors_children_none')) and not(selected(${witnessed_insecurity_factors_children},'dk')) and not(selected(${witnessed_insecurity_factors_children},'dwta'))",quick,,,,,,,,,,,
select_one yes_no_dk_dwta,freedom_movement,Have you been able to move freely around this baladiya during all of the last year?,Avez-vous été incapable de vous déplacer librement autour de cette baladiya au cours de la dernière année?,åá ÊãßäÊ ãä ÇáÊäŞá ÈÍÑíÉ İí åĞå ÇáÈáÏíÉ ÎáÇá ÇáÚÇã ÇáãÇÖí¿,yes,,,quick,,,,,,,"If the interviewee arrived more recently than one year ago, ask them this question about the period they have been in the baladiya","Si la personne interrogée est arrivée plus récemment qu'il y a un an, posez-leur cette question sur la période où ils se sont trouvés dans la baladiya.","ÅĞÇ ßÇä ÇáÔÎÕ ÇáĞí ÊãÊ ãŞÇÈáÊå ŞÏ æÕá ãÄÎÑğÇ ãäĞ ÃßËÑ ãä ÚÇã ¡ İÇÓÃáåã åĞÇ ÇáÓÄÇá Úä ÇáİÊÑÉ ÇáÊí ŞÖæåÇ İí ÇáÈáÏíÉ",,
select_multiple restricted_freedom_movement_reasons,restricted_freedom_movement_reasons,Why were you unable to move freely around this baladiya?,Pourquoi n'avez-vous pas pu vous déplacer librement autour de cette baladiya ?,áãÇĞÇ áã ÊÊãßä ãä ÇáÊäŞá ÈÍÑíÉ İí åĞå ÇáÈáÏíÉ¿,yes,,${freedom_movement}='no',,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,,,,
text,restricted_freedom_movement_reasons_ot,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${restricted_freedom_movement_reasons},'other')",,,,,,,,,,,,
select_one restricted_freedom_movement_length,restricted_freedom_movement_length,How long were you unable to move freely for?,Combien de temps avez-vous été incapable de vous déplacer librement?,ãäĞ ãÊì æÃäÊ ÛíÑ ŞÇÏÑ Úáì ÇáÊäŞá ÈÍÑíÉ¿,yes,,${freedom_movement}='no',,,,,,,,,,,,
select_one yes_no_dwta,presence_explosive_hazards,Are you aware of the presence of any explosive hazards in your neighborhood?,?tes-vous conscient de la présence de dangers explosifs dans votre quartier?,åá ÃäÊ Úáì Úáã ÈæÌæÏ Ãí ãÎÇØÑ ãÊİÌÑÇÊ Çæ ÃáÛÇã İí ãäØŞÊßã¿,yes,,,quick,,,,,,,,,,,
select_one presence_explosive_hazards_actions,presence_explosive_hazards_actions,What course of action did you take?,Quelle actions avez-vous adoptée ?,ãÇ  ÇáÊÕÑİ ÇáĞí ŞãÊ Èå¿,yes,,${presence_explosive_hazards}='yes',quick,,,,,,,,,,,
select_one yes_no_dk_dwta,explosive_hazards_risk_awareness,Have you received any form of information on the risk of explosive hazards? ,"Avez-vous reçu des informations sur les risques d'explosion ? 
",åá ÊáŞíÊ Ãí Ôßá ãä ÃÔßÇá ÇáãÚáæãÇÊ Íæá ãÎÇØÑ ÇáãÊİÌÑÇÊ¿,yes,,,quick,,,,,,,,,,,
select_multiple explosive_hazards_risk_awareness_sources,explosive_hazards_risk_awareness_sources,"From what source? 
",à partir de quelle source ? ,ãä Çí ãÕÏÑ¿,yes,,${explosive_hazards_risk_awareness}='yes',,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,,,,
text,explosive_hazards_risk_awareness_sources_ot,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${explosive_hazards_risk_awareness_sources},'other')",,,,,,,,,,,,
select_one yes_no_dwta,explosive_hazards_injured,"Have you been harmed as a result of being exposed to an explosive hazards in the past? (Do not include being harmed by a household or work-related explosion, such as from a gas cylinder. This question relates only to weapons-related explosions.)","Avez-vous été blessé par le passé en étant exposé à des dangers explosifs? (Ne pas inclure le fait d'être blessé par une explosion familiale ou liée au travail, comme celle d'une bouteille de gaz. Cette question reliée seulement que par les explosions liées aux armes.)",åá ÊÚÑÖÊ áÃÖÑÇÑ äÊíÌÉ ÊÚÑÖß áãÎÇØÑ ÇáãÊİÌÑÇÊ İí ÇáãÇÖí¿ ,yes,,,quick,"if(selected(${physical_cognitive_difficulties_cause},'mine_uxo_improvised_explosive_device'),.!='no',count-selected(.)=1)",,,,,,,,"áÇ ÊŞã ÈÊÖãíä Ãí ÔÎÕ ÊÚÑÖ áÃĞì ÈÓÈÈ ÇäİÌÇÑ ãäÒáí Ãæ ãÊÚáŞ ÈÇáÚãá¡ ãËá ÇäİÌÇÑ ÇÓØæÇäÉ ÇáÛÇÒ. åĞÇ ÇáÓÄÇá íÊÚáŞ İŞØ ÈÇáÇäİÌÇÑÇÊ ÇáãÊÚáŞÉ ÈÇáÃÓáÍÉ",,
select_multiple explosive_hazards_injured_assistance,explosive_hazards_injured_assistance,"Have you received any received any rehabilitation, health care, special assistance, or government assistance for your injury or impairment?","Avez-vous reçu une aide gouvernementale ou de réadaptation, des soins de santé, une aide spéciale ou une aide gouvernementale pour votre blessure ou votre déficience?",åá ÊáŞíÊ Ãí ÅÚÇÏÉ ÊÃåíá Ãæ ÑÚÇíÉ ÕÍíÉ Ãæ ãÓÇÚÏÉ ÎÇÕÉ Ãæ ãÓÇÚÏÉ ÍßæãíÉ¿,yes,,${explosive_hazards_injured}='yes',,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'assistance_needed_none_received')) and not(selected(.,'dont_need_assistance')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,,,,
text,explosive_hazards_injured_assistance_ot,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${explosive_hazards_injured_assistance},'other')",,,,,,,,,,,,
select_multiple explosive_hazards_injured_assistance_source,explosive_hazards_injured_assistance_source,From what source did you receive assistance for your injury or impairment? ,De quelle source avez-vous reçu de l'aide pour votre blessure ou votre déficience?,ãä Ãí ãÕÏÑ ÊáŞíÊ ÇáãÓÇÚÏÉ İí ÅÕÇÈÊß Ãæ ÇÚÇŞÊß¿,yes,,"not(selected(${explosive_hazards_injured_assistance},'assistance_needed_none_received')) and not(selected(${explosive_hazards_injured_assistance},'dont_need_assistance')) and not(selected(${explosive_hazards_injured_assistance},'dk')) and not(selected(${explosive_hazards_injured_assistance},'dwta')) and ${explosive_hazards_injured}!='no'",,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,,,,
text,explosive_hazards_injured_assistance_source_ot,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${explosive_hazards_injured_assistance_source},'other')",,,,,,,,,,,,
select_multiple services_needed_access,services_needed_access,Which of the following services have you needed to access during the past year in Libya?,lesquels services suivants avez-vous eu besoin d'accéder au cours de l'année écoulée en Libye?,Ãí ãä ÇáÎÏãÇÊ ÇáÊÇáíÉ ßäÊ ÈÍÇÌÉ ááæÕæá ÅáíåÇ ÎáÇá ÇáÚÇã ÇáãÇÖí İí áíÈíÇ¿,yes,,,,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'none')) or count-selected(.)=1","Cannot select ""None"" or ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Aucun"" ou ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,,,,
text,services_needed_access_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${services_needed_access},'other')",,,,,,,,,,,,
begin_group,services_unable_access_group,"Of the services you have needed within the past year, were you unable to access any of them?","Parmi les services dont vous avez eu besoin au cours de la dernière année, Est-ce-que n'avez pas pu accéder à aucun d'entre eux?","ãä Èíä ÇáÎÏãÇÊ ÇáÊí ÇÍÊÌÊåÇ ÎáÇá ÇáÚÇã ÇáãÇÖí¡ åá ßÇä ãä ÇáÕÚÈ ÇáæÕæá  Åáì Ãí ãäåÇ¿",yes,,,,,,,,,,,,,,
select_one services_unable_access,public_hospital,"1. Public hospital,","1. Hôpital public,","ÇáãÓÊÔİì ÇáÚÇã¡",yes,,"selected(${services_needed_access},'public_hospital_needed_access')",quick,,,,,,,,,,,
select_multiple services_unable_access_reasons,public_hospital_unable,Why did you not have access to this service?,Pourquoi n'avez-vous pas eu accès à ce service ?,áãÇĞÇ áã ÊÊãßä ãä ÇáæÕæá Åáì åĞå ÇáÎÏãÉ¿,yes,,${public_hospital}='unable_access',,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,,,,
text,public_hospital_unable_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${public_hospital_unable},'other')",,,,,,,,,,,,
select_one services_unable_access,private_hospital,2. Private hospital,2. Hôpital privé,ãÓÊÔİì ÎÇÕ,yes,,"selected(${services_needed_access},'private_hospital_needed_access')",quick,,,,,,,,,,,
